fuel_type_raw,fuel_type_clean,fuel_type_group,count
เบนซิน ออกเทน 95 (ULG 95 RON),เบนซิน ออกเทน 95 (ULG 95 RON),Benzine 95,32193
แก๊สโซฮอล ออกเทน 91 (Gasohol 91-E10),แก๊สโซฮอล ออกเทน 91 (Gasohol 91 - E10),Gasohol 91 E10,30418
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E10),แก๊สโซฮอล ออกเทน 95 (Gasohol 95 - E10),Gasohol 95 E10,30287
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E20),แก๊สโซฮอล ออกเทน 95 (Gasohol 95 - E20),Gasohol 95 E20,30257
ดีเซลหมุนเร็ว พรีเมียม,ดีเซลหมุนเร็ว พรีเมียม,Premium Diesel,29814
แก๊สโซฮอล ออกเทน 95 (Gasohol 95-E85),แก๊สโซฮอล ออกเทน 95 (Gasohol 95 - E85),Gasohol 95 E85,29538
ดีเซลหมุนเร็ว HSD B10,ดีเซลหมุนเร็ว HSD B10,Diesel B10,28970
ดีเซลหมุนเร็ว HSD B20,ดีเซลหมุนเร็ว HSD B20,Diesel B20,28970
ดีเซลหมุนเร็ว HSD B7,ดีเซลหมุนเร็ว HSD B7,Diesel B7,28970
เบนซิน ออกเทน 95 พรีเมียม,เบนซิน ออกเทน 95 พรีเมียม,Premium Benzine 95,28970
แก๊สโซฮอล ออกเทน 95 พรีเมียม,แก๊สโซฮอล ออกเทน 95 พรีเมียม,Premium Gasohol 95,28970
มีผลตั้งแต่ (Effective Date),,Unknown,5723
แก๊สโซฮอล ออกเทน 95 (Gasohol 95 - E10),แก๊สโซฮอล ออกเทน 95 (Gasohol 95 - E10),Gasohol 95 E10,5133
แก๊สโซฮอล ออกเทน 91 (Gasohol 91 - E10),แก๊สโซฮอล ออกเทน 91 (Gasohol 91 - E10),Gasohol 91 E10,4438
เบนซิน ออกเทน 91 (UGR 91 RON),เบนซิน ออกเทน 91 (UGR 91 RON),Benzine 91,3622
"ดีเซลหมุนเร็ว (HSD, 0.005%S)","ดีเซลหมุนเร็ว (HSD, 0.005%S)",HSD 0.005%S,3550
